Id,Label,timeset,subactivity,mainactivity,mainindustry,modularity_class,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,componentnumber,clustering,triangles,eigencentrality
111,,,Growing of cereals and other crops n.e.c.,"Agriculture, Hunting and Forestry","Agriculture, Hunting and Forestry",2,2,1.975556,7,0.265831,0.280329,0,0,1,1,0.007094
112,,,"Growing of vegetables, horticultural specialities and nursery products","Agriculture, Hunting and Forestry","Agriculture, Hunting and Forestry",2,4,3.132984,6,0.343598,0.371659,525.315147,0,0.166667,1,0.077667
113,,,"Growing of wine grapes and table grapes and production of wine from self - produced grapes, Growing of other fruit, nuts, beverage and spice crops","Agriculture, Hunting and Forestry","Agriculture, Hunting and Forestry",10,1,0.954157,7,0.281541,0.300258,0,0,0,0,0.024197
121,,,"Farming of cattle, dairy farming","Agriculture, Hunting and Forestry","Agriculture, Hunting and Forestry",2,1,0.993217,7,0.23847,0.249832,0,0,0,0,0.002966
122,,,"Farming of sheep, goats, horses, asses, mules and hinnies","Agriculture, Hunting and Forestry","Agriculture, Hunting and Forestry",2,1,0.993676,7,0.23847,0.249832,0,0,0,0,0.002966
123,,,Farming of swine,"Agriculture, Hunting and Forestry","Agriculture, Hunting and Forestry",2,1,0.99641,7,0.23847,0.249832,0,0,0,0,0.002966
124,,,Farming of poultry,"Agriculture, Hunting and Forestry","Agriculture, Hunting and Forestry",2,3,2.967764,7,0.284182,0.301673,20.930987,0,0.666667,2,0.01454
125,,,Other farming of animals,"Agriculture, Hunting and Forestry","Agriculture, Hunting and Forestry",2,1,0.99461,7,0.23847,0.249832,0,0,0,0,0.002966
130,,,Growing of crops combined with farming of animals (mixed farming),"Agriculture, Hunting and Forestry","Agriculture, Hunting and Forestry",2,10,9.311606,6,0.312915,0.340566,1899.865429,0,0.066667,3,0.042267
141,,,Agricultural service activities; landscape gardening,"Agriculture, Hunting and Forestry","Agriculture, Hunting and Forestry",8,6,4.241879,5,0.369017,0.398113,445.412562,0,0.2,3,0.122266
142,,,"Farm animal boarding and care,Animal husbandry service activities except veterinary activities n.e.c.","Agriculture, Hunting and Forestry","Agriculture, Hunting and Forestry",10,2,1.937511,6,0.302857,0.320676,0,0,1,1,0.035752
150,,,"Hunting, trapping and game propagation, including related service activities","Agriculture, Hunting and Forestry","Agriculture, Hunting and Forestry",0,0,0,0,0,0,0,1,0,0,0
201,,,Forestry and logging,"Agriculture, Hunting and Forestry","Agriculture, Hunting and Forestry",10,1,0.677837,7,0.249412,0.266953,0,0,0,0,0.008045
202,,,Forestry and logging related service activities,"Agriculture, Hunting and Forestry","Agriculture, Hunting and Forestry",1,0,0,0,0,0,0,2,0,0,0
501,,,Fishing,Fishing,"Agriculture, Hunting and Forestry",0,1,0.999752,1,1,1,0,1,0,0,0.00057
502,,,Fish farming,Fishing,"Agriculture, Hunting and Forestry",0,1,0.999752,1,1,1,0,1,0,0,0.00057
1010,,,Deep coal mines Open cast coal working,Mining and Quarrying,Minning,11,1,0.847475,6,0.29302,0.310928,0,0,0,0,0.021829
1020,,,Mining and agglomeration of lignite,Mining and Quarrying,Minning,3,0,0,0,0,0,0,4,0,0,0
1030,,,Extraction and agglomeration of peat,Mining and Quarrying,Minning,4,0,0,0,0,0,0,5,0,0,0
1110,,,Extraction of crude petroleum and natural gas,Mining and Quarrying,Minning,9,5,4.885396,6,0.299859,0.318475,24.708281,0,0.3,3,0.031938
1120,,,"Service activities incidental to oil and gas extraction, excluding surveying",Mining and Quarrying,Minning,9,5,4.157067,6,0.350993,0.380071,107.377177,0,0.1,1,0.10575
1200,,,Mining of uranium and thorium ores,Mining and Quarrying,Minning,5,0,0,0,0,0,0,6,0,0,0
1310,,,Mining of iron ores,Mining and Quarrying,Minning,6,0,0,0,0,0,0,7,0,0,0
1320,,,"Mining of non-ferrous metal ores, except uranium and thorium ores",Mining and Quarrying,Minning,7,0,0,0,0,0,0,8,0,0,0
1411,,,Quarrying of  ornamental and building stone,Mining and Quarrying,Minning,6,3,2.989509,7,0.260442,0.275062,1.5,0,0.666667,2,0.010684
1412,,,"Quarrying of limestone, gypsum and chalk",Mining and Quarrying,Minning,6,2,1.894031,6,0.321212,0.342846,0,0,1,1,0.042046
1413,,,Quarrying of slate,Mining and Quarrying,Minning,8,0,0,0,0,0,0,9,0,0,0
1421,,,Operation of gravel and sand pits,Mining and Quarrying,Minning,6,9,7.70018,6,0.350703,0.381486,835.036335,0,0.25,9,0.107268
1422,,,Mining of clays and kaolin,Mining and Quarrying,Minning,6,1,0.9948,7,0.259804,0.271917,0,0,0,0,0.005691
1430,,,Mining of chemical and fertilizer minerals,Mining and Quarrying,Minning,9,0,0,0,0,0,0,10,0,0,0
1440,,,Production of salt,Mining and Quarrying,Minning,10,0,0,0,0,0,0,11,0,0,0
1450,,,Other mining and quarrying n.e.c.,Mining and Quarrying,Minning,11,1,0.965458,6,0.29302,0.310928,0,0,0,0,0.021829
1511,,,"Slaughtering of animals other than poultry and rabbits,Animal by-product processing,Fellmongery",Manufacture of Food; Beverages & Tobacco,Manufacture of Food,2,4,3.171528,6,0.299647,0.322013,24.244973,0,0.5,3,0.030378
1512,,,Production and preserving of poultry meat,Manufacture of Food; Beverages & Tobacco,Manufacture of Food,2,7,6.753864,6,0.312915,0.337775,204.861087,0,0.238095,5,0.048313
1513,,,"Bacon and ham production,Other meat and poultry meat processing",Manufacture of Food; Beverages & Tobacco,Manufacture of Food,2,21,15.948354,6,0.368056,0.410888,1801.635466,0,0.190476,40,0.185125
1520,,,Freezing of fish Other fish processing and preserving,Manufacture of Food; Beverages & Tobacco,Manufacture of Food,2,4,3.851053,6,0.289617,0.308176,22.90551,0,0.5,3,0.027469
1531,,,Processing and preserving of potatoes,Manufacture of Food; Beverages & Tobacco,Manufacture of Food,2,2,1.950822,7,0.280609,0.296563,0,0,1,1,0.014561
1532,,,Manufacture of fruit and vegetable juice,Manufacture of Food; Beverages & Tobacco,Manufacture of Food,11,0,0,0,0,0,0,12,0,0,0
1533,,,Processing and preserving of fruit and vegetables n.e.c.,Manufacture of Food; Beverages & Tobacco,Manufacture of Food,2,8,6.958631,6,0.340289,0.370794,194.573406,0,0.464286,13,0.090351
1541,,,Manufacture of crude oils and fats,Manufacture of Food; Beverages & Tobacco,Manufacture of Food,12,0,0,0,0,0,0,13,0,0,0
